Francesco Molinari, ITA
Tommy Fleetwood, ENG
Xander Schauffele, USA
Patrick Reed, USA
Alex Noren, SWE
Rory McIlroy, NI
Thorbjorn Olesen, DEN
Eddie Pepperell, ENG
Tyrrell Hatton, ENG
Justin Rose, ENG
Jon Rahm, ESP
Russell Knox, SCO
Lucas Bjerregaard, DEN
Kiradech Aphibarnrat, THA
Rafa Carbrera Bello, SPA
Alexander Bjork, SWE
Ryan Fox, NZL
Brandon Stone, RSA
Haotong Li, CHN
Matthew Fitzpatrick, ENG
Matt Wallace, ENG
Jorge Campillo, SPA
Chris Wood, ENG
Shubhankar Sharma, IND
Thomas Pieters, BEL 
